TEAM_NAME,W_PCT,NET_RATING,Standings_Rank,NetRating_Rank
Oklahoma City Thunder,0.78,11.1,1,1
San Antonio Spurs,0.756,8.4,2,2
Detroit Pistons,0.732,8.4,3,2
Boston Celtics,0.683,8.3,4,4
Denver Nuggets,0.659,5.2,5,7
New York Knicks,0.646,6.4,6,5
Los Angeles Lakers,0.646,1.5,6,14
Cleveland Cavaliers,0.634,4.1,8,9
Houston Rockets,0.634,5.4,8,6
Minnesota Timberwolves,0.598,3.1,10,10
Atlanta Hawks,0.561,2.2,11,12
Toronto Raptors,0.561,2.9,11,11
Orlando Magic,0.549,0.6,13,17
Philadelphia 76ers,0.549,-0.1,13,18
Phoenix Suns,0.549,1.4,13,15
Charlotte Hornets,0.537,4.9,16,8
Miami Heat,0.524,2.1,17,13
Portland Trail Blazers,0.512,-0.4,18,19
LA Clippers,0.512,1.1,18,16
Golden State Warriors,0.451,-0.5,20,20
Milwaukee Bucks,0.39,-6.1,21,25
Chicago Bulls,0.378,-5.3,22,23
New Orleans Pelicans,0.317,-4.4,23,21
Dallas Mavericks,0.317,-5.2,23,22
Memphis Grizzlies,0.305,-6.0,25,24
Sacramento Kings,0.268,-9.7,26,28
Utah Jazz,0.268,-8.2,26,27
Brooklyn Nets,0.244,-10.0,28,29
Indiana Pacers,0.232,-7.8,29,26
Washington Wizards,0.207,-11.8,30,30
